time,temperature_2m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,dew_point_2m,relative_humidity_2m
2025-01-01T00:00,-0.5,-0.7,0.335,-2.0,90.0
2025-01-01T01:00,-0.0,-0.7,0.335,-1.7,88.0
2025-01-01T02:00,0.7,-0.6,0.335,-1.5,85.0
2025-01-01T03:00,0.8,-1.1,0.334,-1.2,86.0
2025-01-01T04:00,1.4,-0.8,0.334,-1.1,83.0
2025-01-01T05:00,1.4,-0.7,0.334,-1.3,82.0
2025-01-01T06:00,1.3,-0.6,0.334,-1.0,84.0
2025-01-01T07:00,0.9,-0.6,0.334,-1.1,86.0
2025-01-01T08:00,-0.1,-0.6,0.334,-1.9,88.0
2025-01-01T09:00,-0.4,-0.6,0.334,-2.3,87.0
2025-01-01T10:00,0.0,-0.6,0.334,-2.7,82.0
2025-01-01T11:00,1.9,-0.5,0.334,-3.0,70.0
2025-01-01T12:00,4.2,-0.4,0.334,-3.3,58.0
2025-01-01T13:00,5.8,-0.3,0.334,-3.4,52.0
2025-01-01T14:00,6.7,-0.1,0.334,-2.5,52.0
2025-01-01T15:00,7.0,-0.6,0.334,-1.3,56.0
2025-01-01T16:00,7.5,-0.4,0.334,-1.8,52.0
2025-01-01T17:00,7.1,-0.3,0.334,-2.0,52.0
2025-01-01T18:00,6.5,-0.2,0.334,-2.4,53.0
2025-01-01T19:00,5.8,-0.1,0.333,-2.8,54.0
2025-01-01T20:00,5.4,-0.1,0.333,-3.0,55.0
2025-01-01T21:00,5.5,-0.0,0.333,-2.9,55.0
2025-01-01T22:00,5.7,0.0,0.332,-2.8,55.0
2025-01-01T23:00,5.8,0.1,0.332,-2.6,55.0
2025-01-02T00:00,5.8,0.2,0.331,-2.3,56.0
2025-01-02T01:00,6.4,0.2,0.331,-2.0,55.0
2025-01-02T02:00,6.8,0.3,0.33,-1.9,54.0
2025-01-02T03:00,7.8,4.0,0.321,0.5,60.0
2025-01-02T04:00,7.8,3.8,0.32,0.3,59.0
2025-01-02T05:00,7.7,3.8,0.32,-0.1,58.0
2025-01-02T06:00,7.5,3.7,0.319,-0.4,57.0
2025-01-02T07:00,7.3,3.7,0.319,-0.0,60.0
2025-01-02T08:00,6.6,3.7,0.323,1.0,67.0
2025-01-02T09:00,4.8,3.5,0.344,3.1,89.0
2025-01-02T10:00,4.3,3.4,0.363,3.2,93.0
2025-01-02T11:00,4.2,3.4,0.378,3.3,94.0
2025-01-02T12:00,4.1,3.3,0.394,3.2,94.0
2025-01-02T13:00,3.8,3.3,0.409,3.0,95.0
2025-01-02T14:00,2.8,3.1,0.423,2.6,99.0
2025-01-02T15:00,1.9,3.5,0.423,1.9,100.0
2025-01-02T16:00,1.3,2.9,0.421,1.3,100.0
2025-01-02T17:00,1.2,2.5,0.42,1.1,99.0
2025-01-02T18:00,1.4,2.2,0.415,1.2,99.0
2025-01-02T19:00,1.1,1.8,0.41,0.9,98.0
2025-01-02T20:00,1.1,1.6,0.406,0.8,98.0
2025-01-02T21:00,1.2,1.4,0.403,0.7,96.0
2025-01-02T22:00,0.9,1.2,0.4,0.5,97.0
2025-01-02T23:00,0.4,1.0,0.398,-0.1,96.0
2025-01-03T00:00,0.1,0.8,0.396,-0.6,95.0
2025-01-03T01:00,-0.1,0.8,0.394,-0.9,94.0
2025-01-03T02:00,-0.1,0.7,0.392,-0.9,94.0
2025-01-03T03:00,0.0,0.9,0.394,-0.6,95.0
2025-01-03T04:00,-0.1,0.8,0.393,-0.9,94.0
2025-01-03T05:00,-0.5,0.7,0.391,-2.2,88.0
2025-01-03T06:00,-0.9,0.6,0.39,-1.9,93.0
2025-01-03T07:00,0.1,0.6,0.388,-0.8,94.0
2025-01-03T08:00,0.2,0.6,0.387,-0.7,94.0
2025-01-03T09:00,-0.3,0.5,0.386,-1.2,93.0
2025-01-03T10:00,-0.3,0.5,0.385,-1.3,93.0
2025-01-03T11:00,0.6,0.5,0.384,-0.9,90.0
2025-01-03T12:00,1.0,0.6,0.383,-1.8,82.0
2025-01-03T13:00,1.5,0.6,0.382,-2.3,76.0
2025-01-03T14:00,2.0,0.8,0.381,-3.2,68.0
2025-01-03T15:00,2.0,2.0,0.378,-2.5,72.0
2025-01-03T16:00,1.6,2.0,0.377,-2.8,72.0
2025-01-03T17:00,1.3,1.8,0.376,-3.0,73.0
2025-01-03T18:00,0.9,1.4,0.375,-3.6,72.0
